Key,Id,Shared Comments,English(en),English(en) Comments,Russian(ru),Russian(ru) Comments
"ui.prefab.p_hud_canvas_modalcanvas_laboratoryscreen_scanscreen_background_screen_storage_slot_dropbutton_text_drop",7685673124356103,"","DROP","","ВЫБРОСИТЬ",""
"ui.prefab.p_hud_canvas_modalcanvas_laboratoryscreen_powerscreen_background_screen_storage_slot_text_progress_01",7685673124356104,"","Slot 1 - %","","Ячейка 1 — %",""
"ui.prefab.p_hud_canvas_modalcanvas_laboratoryscreen_powerscreen_background_screen_storage_slot_text_progress_02",7685673124356105,"","Slot 2 - %","","Ячейка 2 — %",""
"ui.prefab.p_hud_canvas_modalcanvas_laboratoryscreen_powerscreen_background_screen_storage_slot_text_progress_03",7685673124356106,"","Slot 3 - %","","Ячейка 3 — %",""
"ui.prefab.p_hud_canvas_modalcanvas_laboratoryscreen_powerscreen_background_screen_storage_slot_text_progress_04",7685673124356107,"","Slot 4 - %","","Ячейка 4 — %",""
"ui.prefab.p_hud_canvas_modalcanvas_laboratoryscreen_powerscreen_background_screen_storage_slot_dropbutton_text_drop",7685673124356108,"","DROP","","ВЫБРОСИТЬ",""
"ui.prefab.p_hud_canvas_modalcanvas_laboratoryscreen_upgradescreen_background_screen_storage_slot_dropbutton_text_drop",7685673124356109,"","DROP","","ВЫБРОСИТЬ",""
"ui.prefab.p_hud_canvas_modalcanvas_laboratoryscreen_upgradescreen_background_screen_storage_slot_upgradebutton_text_upgrade",7685673124356110,"","UPGRADE","","УЛУЧШИТЬ",""
"ui.prefab.p_screen_inventory_dropbutton_text_drop",7685673849970688,"","DROP","","ВЫБРОСИТЬ",""
"ui.prefab.p_screen_laboratory_exitbutton_exit",7685674432978944,"","EXIT","","ВЫХОД",""
"ui.prefab.p_screen_laboratory_powermapbutton_text_power",7685674432978945,"","POWER","","ПИТАНИЕ",""
"ui.prefab.p_screen_laboratory_scanmapbutton_text_scan",7685674432978946,"","SCAN","","СКАНИРОВАТЬ",""
"ui.prefab.p_screen_laboratory_upgrademapbutton_text_upgrade",7685674432978947,"","UPGRADE","","УЛУЧШИТЬ",""
"ui.prefab.p_screen_laboratory_scanscreen_background_screen_storage_slot_scanbutton_text_scan",7685674432978948,"","SCAN","","СКАНИРОВАТЬ",""
"ui.prefab.p_screen_laboratory_scanscreen_background_screen_storage_slot_dropbutton_text_drop",7685674432978949,"","DROP","","ВЫБРОСИТЬ",""
"ui.prefab.p_screen_laboratory_powerscreen_background_screen_storage_slot_text_progress_01",7685674432978950,"","Slot 1 - %","","Ячейка 1 — %",""
"ui.prefab.p_screen_laboratory_powerscreen_background_screen_storage_slot_text_progress_02",7685674432978951,"","Slot 2 - %","","Ячейка 2 — %",""
"ui.prefab.p_screen_laboratory_powerscreen_background_screen_storage_slot_text_progress_03",7685674432978952,"","Slot 3 - %","","Ячейка 3 — %",""
"ui.prefab.p_screen_laboratory_powerscreen_background_screen_storage_slot_text_progress_04",7685674432978953,"","Slot 4 - %","","Ячейка 4 — %",""
"ui.prefab.p_screen_laboratory_powerscreen_background_screen_storage_slot_dropbutton_text_drop",7685674432978954,"","DROP","","ВЫБРОСИТЬ",""
"ui.prefab.p_screen_laboratory_upgradescreen_background_screen_storage_slot_dropbutton_text_drop",7685674432978955,"","DROP","","ВЫБРОСИТЬ",""
"ui.prefab.p_screen_laboratory_upgradescreen_background_screen_storage_slot_upgradebutton_text_upgrade",7685674432978956,"","UPGRADE","","УЛУЧШИТЬ",""
"ui.mainscene.runtimeroot_hud_canvas_modalcanvas_laboratoryscreen_scanmapbutton_text_scan",7685681613627392,"","SCAN","","СКАНИРОВАТЬ",""
"ui.mainscene.runtimeroot_hud_canvas_modalcanvas_laboratoryscreen_scanscreen_background_screen_storage_slot_scanbutton_text_scan",7685681659764736,"","SCAN","","СКАНИРОВАТЬ",""
"ui.mainscene.runtimeroot_hud_canvas_modalcanvas_laboratoryscreen_powerscreen_background_screen_storage_slot_text_progress_02",7685681659764737,"","Slot 2 - %","","Ячейка 2 — %",""
"ui.mainscene.runtimeroot_hud_canvas_modalcanvas_laboratoryscreen_powerscreen_background_screen_storage_slot_dropbutton_text_drop",7685681710096384,"","DROP","","ВЫБРОСИТЬ",""
"ui.mainscene.runtimeroot_hud_canvas_gameplayhudcanvas_inventoryhint",7685681710096385,"","INVENTORY [TAB]","","ИНВЕНТАРЬ [TAB]",""
"ui.mainscene.runtimeroot_hud_canvas_modalcanvas_laboratoryscreen_powermapbutton_text_power",7685681752039424,"","POWER","","ПИТАНИЕ",""
"ui.mainscene.runtimeroot_hud_canvas_modalcanvas_laboratoryscreen_upgrademapbutton_text_upgrade",7685681752039425,"","UPGRADE","","УЛУЧШИТЬ",""
"ui.mainscene.runtimeroot_hud_canvas_modalcanvas_laboratoryscreen_upgradescreen_background_screen_storage_slot_dropbutton_text_drop",7685681752039426,"","DROP","","ВЫБРОСИТЬ",""
"ui.mainscene.runtimeroot_hud_canvas_modalcanvas_inventoryscreen_dropbutton_text_drop",7685681752039427,"","DROP","","ВЫБРОСИТЬ",""
"ui.mainscene.runtimeroot_hud_canvas_modalcanvas_laboratoryscreen_powerscreen_background_screen_storage_slot_text_progress_03",7685681752039428,"","Slot 3 - %","","Ячейка 3 — %",""
"ui.mainscene.runtimeroot_hud_canvas_modalcanvas_laboratoryscreen_powerscreen_background_screen_storage_slot_text_progress_04",7685681752039429,"","Slot 4 - %","","Ячейка 4 — %",""
"ui.mainscene.runtimeroot_hud_canvas_modalcanvas_laboratoryscreen_upgradescreen_background_screen_storage_slot_upgradebutton_text_upgrade",7685681756233728,"","UPGRADE","","УЛУЧШИТЬ",""
"ui.mainscene.runtimeroot_hud_canvas_modalcanvas_laboratoryscreen_scanscreen_background_screen_storage_slot_dropbutton_text_drop",7685681756233729,"","DROP","","ВЫБРОСИТЬ",""
"ui.mainscene.runtimeroot_hud_canvas_modalcanvas_laboratoryscreen_powerscreen_background_screen_storage_slot_text_progress_01",7685681756233730,"","Slot 1 - %","","Ячейка 1 — %",""
"ui.mainscene.runtimeroot_hud_canvas_modalcanvas_laboratoryscreen_exitbutton_exit",7685681756233731,"","EXIT","","ВЫХОД",""
